organism_id	rxn_id	rxn_irreversible	rno_acetaminophen_t1_d1_ctl	rno_acetaminophen_t1_d1_trt
rno	RCR10115	RCR10115_f	1.07	0.934
rno	RCR10115	RCR10115_r	1.07	0.934
rno	RCR10116	RCR10116_f	1.06	0.942
rno	RCR10116	RCR10116_r	1.06	0.942
rno	RCR10117	RCR10117_f	1.07	0.934
rno	RCR10117	RCR10117_r	1.07	0.934
rno	RCR10118	RCR10118_f	4.44	0.225
rno	RCR10118	RCR10118_r	4.44	0.225
rno	RCR10119	RCR10119_f	0.743	1.35
rno	RCR10119	RCR10119_r	0.743	1.35
rno	RCR10120	RCR10120_f	3.31	1.21
rno	RCR10120	RCR10120_r	3.31	1.21
rno	RCR10121	RCR10121_f	1.13	0.887
rno	RCR10121	RCR10121_r	1.13	0.887
rno	RCR10122	RCR10122_f	1.18	3.4
rno	RCR10122	RCR10122_r	1.18	3.4
rno	RCR10123	RCR10123_f	1.86	2.15
rno	RCR10123	RCR10123_r	1.86	2.15
rno	RCR10124	RCR10124_f	2	2
rno	RCR10124	RCR10124_r	2	2
rno	RCR10126	RCR10126_f	1.01	0.988
rno	RCR10126	RCR10126_r	1.01	0.988
rno	RCR10127	RCR10127_f	1.01	0.988
rno	RCR10127	RCR10127_r	1.01	0.988
rno	RCR10128	RCR10128_f	4	4
rno	RCR10128	RCR10128_r	4	4
rno	RCR10129	RCR10129_f	1.07	0.934
rno	RCR10129	RCR10129_r	1.07	0.934
rno	RCR10130	RCR10130_f	1	1
rno	RCR10130	RCR10130_r	1	1
rno	RCR10131	RCR10131_f	1.07	0.934
rno	RCR10131	RCR10131_r	1.07	0.934
rno	RCR10132	RCR10132_f	1.07	0.934
rno	RCR10132	RCR10132_r	1.07	0.934
rno	RCR10133	RCR10133_f	0.748	1.34
rno	RCR10133	RCR10133_r	0.748	1.34
rno	RCR10134	RCR10134_f	1.01	0.988
rno	RCR10134	RCR10134_r	1.01	0.988
rno	RCR10135	RCR10135_f	1.07	0.934
rno	RCR10135	RCR10135_r	1.07	0.934
rno	RCR10136	RCR10136_f	1.07	0.934
rno	RCR10136	RCR10136_r	1.07	0.934
rno	RCR10137	RCR10137_f	1.07	0.934
rno	RCR10137	RCR10137_r	1.07	0.934
rno	RCR10138	RCR10138_f	4	4
rno	RCR10138	RCR10138_r	4	4
rno	RCR10139	RCR10139_f	1.55	0.644
rno	RCR10139	RCR10139_r	1.55	0.644
rno	RCR10140	RCR10140_f	2.08	1.92
rno	RCR10140	RCR10140_r	2.08	1.92
rno	RCR10141	RCR10141_f	0.846	1.18
rno	RCR10141	RCR10141_r	0.846	1.18
rno	RCR10142	RCR10142_f	0.938	1.07
rno	RCR10142	RCR10142_r	0.938	1.07
rno	RCR10143	RCR10143_f	2	2
rno	RCR10143	RCR10143_r	2	2
rno	RCR10144	RCR10144_f	0.775	1.29
rno	RCR10144	RCR10144_r	0.775	1.29
rno	RCR10145	RCR10145_f	0.753	1.33
rno	RCR10145	RCR10145_r	0.753	1.33
rno	RCR10146	RCR10146_f	0.922	1.08
rno	RCR10146	RCR10146_r	0.922	1.08
rno	RCR10147	RCR10147_f	1.35	0.738
rno	RCR10147	RCR10147_r	1.35	0.738
rno	RCR10148	RCR10148_f	1.04	0.962
rno	RCR10148	RCR10148_r	1.04	0.962
rno	RCR10149	RCR10149_f	1.22	0.82
rno	RCR10149	RCR10149_r	1.22	0.82
rno	RCR10150	RCR10150_f	1	1
rno	RCR10150	RCR10150_r	1	1
rno	RCR10151	RCR10151_f	1.32	3.02
rno	RCR10151	RCR10151_r	1.32	3.02
rno	RCR10152	RCR10152_f	0.994	1.01
rno	RCR10152	RCR10152_r	0.994	1.01
rno	RCR10153	RCR10153_f	0.51	1.96
rno	RCR10153	RCR10153_r	0.51	1.96
rno	RCR10154	RCR10154_f	1.01	0.988
rno	RCR10154	RCR10154_r	1.01	0.988
rno	RCR10155	RCR10155_f	1.45	2.75
rno	RCR10155	RCR10155_r	1.45	2.75
rno	RCR10156	RCR10156_f	0.978	1.02
rno	RCR10156	RCR10156_r	0.978	1.02
rno	RCR10157	RCR10157_f	4	4
rno	RCR10157	RCR10157_r	4	4
rno	RCR10158	RCR10158_f	0.624	1.6
rno	RCR10158	RCR10158_r	0.624	1.6
rno	RCR10159	RCR10159_f	4	4
rno	RCR10159	RCR10159_r	4	4
rno	RCR10160	RCR10160_f	1.83	0.547
rno	RCR10160	RCR10160_r	1.83	0.547
rno	RCR10161	RCR10161_f	0.805	1.24
rno	RCR10161	RCR10161_r	0.805	1.24
rno	RCR10162	RCR10162_f	1.05	0.956
rno	RCR10162	RCR10162_r	1.05	0.956
rno	RCR10163	RCR10163_f	1.75	2.29
rno	RCR10163	RCR10163_r	1.75	2.29
rno	RCR10164	RCR10164_f	1.27	0.787
rno	RCR10164	RCR10164_r	1.27	0.787
rno	RCR10166	RCR10166_f	1	3.98
